SeqID,Description
1013506,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1015406,"Nantucket, MA: Nantucket Memorial"
1015804,"Atlantic City, NJ: Atlantic City International"
1025702,"Albany, NY: Albany International"
1043405,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
1052907,"Hartford, CT: Bradley International"
1057705,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
1058102,"Bangor, ME: Bangor International"
1072102,"Boston, MA: Logan International"
1078502,"Burlington, VT: Burlington International"
1079206,"Buffalo, NY: Buffalo Niagara International"
1153706,"Elmira/Corning, NY: Elmira/Corning Regional"
1157706,"Erie, PA: Erie International/Tom Ridge Field"
1161802,"Newark, NJ: Newark Liberty International"
1219702,"White Plains, NY: Westchester County"
1225003,"Hyannis, MA: Cape Cod Gateway"
1226505,"Niagara Falls, NY: Niagara Falls International"
1239103,"Islip, NY: Long Island MacArthur"
1239703,"Ithaca/Cortland, NY: Ithaca Tompkins International"
1247805,"New York, NY: John F. Kennedy International"
1255905,"Johnstown, PA: John Murtha Johnstown-Cambria County"
1289806,"Latrobe, PA: Arnold Palmer Regional"
1295304,"New York, NY: LaGuardia"
1323002,"Harrisburg, PA: Harrisburg International"
1329605,"Manchester, NH: Manchester Boston Regional"
1354102,"Martha's Vineyard, MA: Martha's Vineyard Airport"
1393305,"Worcester, MA: Worcester Regional"
1402501,"Plattsburgh, NY: Plattsburgh International"
1410005,"Philadelphia, PA: Philadelphia International"
1412202,"Pittsburgh, PA: Pittsburgh International"
1425902,"Portsmouth, NH: Portsmouth International at Pease"
1430706,"Providence, RI: Rhode Island Tf Green International"
1432105,"Portland, ME: Portland International Jetport"
1457607,"Rochester, NY: Frederick Douglass Grtr Rochester International"
1471105,"State College, PA: University Park"
1507003,"Newburgh/Poughkeepsie, NY: New York Stewart International"
1509602,"Syracuse, NY: Syracuse Hancock International"
1535602,"Trenton, NJ: Trenton Mercer"
